FEATURE_NAME,SOURCE_NOTEBOOK,PROVENANCE,CLINICAL_RATIONALE,RISK_RATIO,FINAL_STATUS,REMOVAL_REASON
HAS_PCP_AT_END,Book0_Cohort,EDA,Primary care provider engagement indicator,,KEPT,
# Additional vitals features as identified in notebook...
# ===========================================
# ICD10 DIAGNOSIS FEATURES (Book 2) - 26 features
# ===========================================
HAS_GI_BLEEDING,Book2_ICD10,Literature,GI bleeding symptoms - 6.3x CRC risk,6.3,KEPT,
HAS_RECTAL_BLEEDING,Book2_ICD10,Literature,Rectal bleeding specifically,,KEPT,
HAS_IRON_DEFICIENCY_ANEMIA,Book2_ICD10,Literature,IDA shows elevated CRC risk,,KEPT,
HAS_ANEMIA_ANY,Book2_ICD10,EDA,Any anemia diagnosis - 3.3x CRC risk,3.3,KEPT,
HAS_BOWEL_HABIT_CHANGE,Book2_ICD10,Literature,Bowel habit changes - 3.1x CRC risk,3.1,KEPT,
HAS_ABDOMINAL_PAIN,Book2_ICD10,Literature,Abdominal pain symptoms,,KEPT,
HAS_UNEXPLAINED_WEIGHT_LOSS_DX,Book2_ICD10,Literature,Documented weight loss diagnosis,,KEPT,
HAS_POLYPS_HISTORY,Book2_ICD10,Literature,History of polyps (D12/K63.5) - 3.5x risk,3.5,KEPT,
HAS_IBD,Book2_ICD10,Literature,Inflammatory bowel disease - 2.3x risk,2.3,KEPT,
HAS_DIABETES,Book2_ICD10,Literature,Diabetes as comorbidity/risk factor,,KEPT,
HAS_OBESITY_DX,Book2_ICD10,Literature,Obesity diagnosis,,KEPT,
ICD_FHX_CRC_COMBINED,Book2_ICD10,Literature,Family history of CRC (structured + ICD),,KEPT,
ICD_GENETIC_RISK_COMPOSITE,Book2_ICD10,EDA,Genetic risk pattern composite,,REMOVED,Perfect correlation with ICD_FHX_CRC_COMBINED (rho=0.9997)
CHARLSON_INDEX,Book2_ICD10,Literature,Charlson Comorbidity Index score,,KEPT,
ELIXHAUSER_SCORE,Book2_ICD10,Literature,Elixhauser comorbidity score,,KEPT,
SYMPTOM_TRIAD_FLAG,Book2_ICD10,EDA,Bleeding + anemia + bowel changes - 4.6x risk,4.6,KEPT,
IDA_WITH_BLEEDING,Book2_ICD10,EDA,Iron deficiency anemia with bleeding - 4.8x risk,4.8,KEPT,
SYMPTOM_ACCELERATION_RATIO,Book2_ICD10,EDA,Rate of symptom accumulation,,KEPT,
DAYS_SINCE_LAST_GI_SYMPTOM,Book2_ICD10,EDA,Recency of GI symptoms (ordinal binned),,KEPT,
# Additional ICD10 features...
# ===========================================
# SOCIAL FACTORS (Book 3) - ALL EXCLUDED
# ===========================================
SMOKING_STATUS,Book3_Social,EDA,Epic workflow artifact - 78% default 'never smoker',,EXCLUDED,Epic default bias - inverted risk relationship
SMOKING_PACK_YEARS,Book3_Social,EDA,Only 4.23% quantitative data available,,EXCLUDED,95.77% missing - unreliable
FORMER_SMOKER_FLAG,Book3_Social,EDA,Expected 20-25% prevalence but only 0.01%,,EXCLUDED,Workflow-corrupted data
ALCOHOL_USE,Book3_Social,EDA,Similar workflow artifact issues,,EXCLUDED,Epic default bias
DRUG_USE,Book3_Social,EDA,Similar workflow artifact issues,,EXCLUDED,Epic default bias
# All 31 social factors excluded due to Epic workflow artifacts
# ===========================================
# LABORATORY FEATURES (Book 4) - Multiple features
# ===========================================
HEMOGLOBIN_LATEST,Book4_Labs,Literature,Latest hemoglobin value - key anemia marker,,KEPT,
HEMOGLOBIN_VELOCITY,Book4_Labs,EDA,Rate of hemoglobin change per month,,KEPT,
HEMOGLOBIN_ACCELERATION,Book4_Labs,EDA,Second derivative - 10.9x CRC risk,10.9,KEPT,
HEMOGLOBIN_TRAJECTORY,Book4_Labs,EDA,Trajectory classification (rapid decline/stable/rising),,KEPT,
HEMATOCRIT_LATEST,Book4_Labs,Literature,Latest hematocrit value,,KEPT,
MCV_LATEST,Book4_Labs,Literature,Mean corpuscular volume - microcytic anemia indicator,,KEPT,
RDW_LATEST,Book4_Labs,Literature,Red cell distribution width,,KEPT,
PLATELET_LATEST,Book4_Labs,Literature,Platelet count,,KEPT,
WBC_LATEST,Book4_Labs,Literature,White blood cell count,,KEPT,
FERRITIN_LATEST,Book4_Labs,Literature,Iron stores indicator,,KEPT,
IRON_LATEST,Book4_Labs,Literature,Serum iron level,,KEPT,
TIBC_LATEST,Book4_Labs,Literature,Total iron binding capacity,,KEPT,
ALBUMIN_LATEST,Book4_Labs,Literature,Nutritional/liver function marker,,KEPT,
GLUCOSE_LATEST,Book4_Labs,Literature,Blood glucose level,,KEPT,
CREATININE_LATEST,Book4_Labs,Literature,Kidney function marker,,KEPT,
BUN_LATEST,Book4_Labs,Literature,Blood urea nitrogen,,KEPT,
ALT_LATEST,Book4_Labs,Literature,Liver enzyme,,KEPT,
AST_LATEST,Book4_Labs,Literature,Liver enzyme,,KEPT,
ALP_LATEST,Book4_Labs,Literature,Alkaline phosphatase - can indicate metastasis,,KEPT,
BILIRUBIN_LATEST,Book4_Labs,Literature,Liver function marker,,KEPT,
CEA_LATEST,Book4_Labs,Literature,Carcinoembryonic antigen - tumor marker,,KEPT,
# Lab velocity/trajectory features...
# ===========================================
# OUTPATIENT MEDICATIONS (Book 5.1) - 19 features
# ===========================================
HAS_IRON_SUPPLEMENT,Book5_1_OutpatientMeds,EDA,Iron supplementation - 4.9x CRC risk,4.9,KEPT,
IRON_RECENCY,Book5_1_OutpatientMeds,EDA,Days since iron prescription (ordinal binned),,KEPT,
IRON_COUNT_2Y,Book5_1_OutpatientMeds,EDA,Iron prescription count in 2 years,,KEPT,
HAS_PPI,Book5_1_OutpatientMeds,EDA,Proton pump inhibitor use - 15.7% prevalence,,KEPT,
PPI_RECENCY,Book5_1_OutpatientMeds,EDA,Days since PPI prescription (ordinal binned),,KEPT,
HAS_HEMORRHOID_MED,Book5_1_OutpatientMeds,EDA,Hemorrhoid medications - 6.0x risk (16.8x if <30 days),6.0,KEPT,
HEMORRHOID_RECENCY,Book5_1_OutpatientMeds,EDA,Days since hemorrhoid med (ordinal binned),,KEPT,
HAS_LAXATIVE,Book5_1_OutpatientMeds,EDA,Laxative use - 2.2x CRC risk,2.2,KEPT,
LAXATIVE_RECENCY,Book5_1_OutpatientMeds,EDA,Days since laxative (ordinal binned),,KEPT,
HAS_ANTIDIARRHEAL,Book5_1_OutpatientMeds,EDA,Antidiarrheal use - 3.4x CRC risk,3.4,KEPT,
ANTIDIARRHEAL_RECENCY,Book5_1_OutpatientMeds,EDA,Days since antidiarrheal (ordinal binned),,KEPT,
HAS_NSAID,Book5_1_OutpatientMeds,Literature,NSAID use,,KEPT,
HAS_STATIN,Book5_1_OutpatientMeds,Literature,Statin use,,KEPT,
HAS_STEROID_ORAL,Book5_1_OutpatientMeds,EDA,Oral steroid use (97% of 'IBD meds' category),,KEPT,
# Additional outpatient med features...
# ===========================================
# INPATIENT MEDICATIONS (Book 5.2) - 20 features
# ===========================================
INP_ANY_HOSPITALIZATION,Book5_2_InpatientMeds,EDA,Any hospitalization in lookback - critical risk indicator,,KEPT,
INP_DAYS_SINCE_DISCHARGE,Book5_2_InpatientMeds,EDA,Recency of hospitalization (ordinal binned),,KEPT,
INP_ACUTE_GI_BLEEDING,Book5_2_InpatientMeds,EDA,Iron + PPI pattern - managed hemorrhage - 1.86x risk,1.86,KEPT,
INP_OBSTRUCTION_PATTERN,Book5_2_InpatientMeds,EDA,Laxatives + opioids - ileus/obstruction indicator,,KEPT,
INP_SEVERE_INFECTION,Book5_2_InpatientMeds,EDA,Antibiotics + opioids - sepsis/abscess indicator,,KEPT,
INP_HAS_IRON,Book5_2_InpatientMeds,EDA,Inpatient iron administration,,KEPT,
INP_HAS_PPI,Book5_2_InpatientMeds,EDA,Inpatient PPI administration,,KEPT,
INP_HAS_OPIOID,Book5_2_InpatientMeds,EDA,Inpatient opioid use - 20.7% prevalence,,KEPT,
INP_HAS_ANTIBIOTIC,Book5_2_InpatientMeds,EDA,Inpatient antibiotic use,,KEPT,
# Temporal risk: 0-7 days post-hospitalization = 11.6x baseline risk
# Additional inpatient med features...
# ===========================================
# VISIT HISTORY (Book 6) - 23 features
# ===========================================
ED_VISIT_COUNT_12M,Book6_Visit,EDA,ED visits in past 12 months,,KEPT,
ED_VISIT_RECENCY,Book6_Visit,EDA,Days since last ED visit (ordinal binned),,KEPT,
HOSPITALIZATION_COUNT_12M,Book6_Visit,EDA,Hospitalizations in past 12 months,,KEPT,
HOSPITALIZATION_LOS_TOTAL,Book6_Visit,EDA,Total length of stay,,KEPT,
GI_SPECIALIST_VISIT_COUNT,Book6_Visit,EDA,GI specialist encounters,,KEPT,
GI_SPECIALIST_RECENCY,Book6_Visit,EDA,Days since GI specialist visit (ordinal binned),,KEPT,
PCP_VISIT_COUNT_12M,Book6_Visit,EDA,Primary care visits - Risk Ratio 2.55,2.55,KEPT,
PCP_CONTINUITY_SCORE,Book6_Visit,EDA,Care continuity metric,,KEPT,
ANY_GI_SYMPTOM_VISIT,Book6_Visit,EDA,Visit with GI symptoms documented,,KEPT,
CARE_GAP_GI,Book6_Visit,EDA,GI symptoms (8.2%) but no GI specialist visit (0.9%),,KEPT,
PREVENTIVE_CARE_ENGAGEMENT,Book6_Visit,EDA,Preventive care visit patterns,,KEPT,
NO_SHOW_COUNT,Book6_Visit,EDA,Missed appointment count,,KEPT,
UTILIZATION_INTENSITY_SCORE,Book6_Visit,EDA,Composite utilization metric,,KEPT,
# Additional visit features...
# ===========================================
# PROCEDURES (Book 7) - 17 features
# ===========================================
HAS_RBC_TRANSFUSION,Book7_Procedures,EDA,Red blood cell transfusion - objective bleeding evidence,,KEPT,
RBC_TRANSFUSION_COUNT_24M,Book7_Procedures,EDA,Transfusion count in 24 months,,KEPT,
HAS_IRON_INFUSION,Book7_Procedures,EDA,IV iron infusion - anemia treatment,,KEPT,
IRON_INFUSION_COUNT_24M,Book7_Procedures,EDA,Iron infusion count in 24 months,,KEPT,
HAS_CT_ABDOMEN,Book7_Procedures,EDA,CT abdomen/pelvis imaging - 18.6% prevalence,,KEPT,
CT_ABDOMEN_RECENCY,Book7_Procedures,EDA,Days since CT imaging (ordinal binned),,KEPT,
HAS_MRI_ABDOMEN,Book7_Procedures,EDA,MRI abdomen/pelvis imaging,,KEPT,
HAS_PET_SCAN,Book7_Procedures,EDA,PET scan - advanced imaging,,KEPT,
HAS_EGD,Book7_Procedures,EDA,Upper endoscopy,,KEPT,
HAS_HEMORRHOID_PROCEDURE,Book7_Procedures,EDA,Hemorrhoid treatment procedure,,KEPT,
ANEMIA_TREATMENT_INTENSITY,Book7_Procedures,EDA,Composite: transfusions + iron infusions - 3-4x risk,3.5,KEPT,
DIAGNOSTIC_CASCADE_SCORE,Book7_Procedures,EDA,Imaging without follow-up colonoscopy,,KEPT,
OBJECTIVE_BLEEDING_EVIDENCE,Book7_Procedures,EDA,2.5% have transfusion/iron infusion but no colonoscopy,,KEPT,
# Note: Colonoscopy deliberately excluded - successful screenings already excluded patients
# ===========================================
# COMPILATION FEATURES (Book 8)
# ===========================================
QUARTERS_SINCE_STUDY_START,Book8_Compilation,EDA,Prevalent case adjustment - event rate decline Q4 (0.49%) to Q6 (0.32%),,KEPT,
VISIT_RECENCY_LAST_INPATIENT,Book8_Compilation,EDA,Last inpatient visit recency,,REMOVED,Constant feature (no variation)
# ===========================================
# ANDREI'S ADDITIONS - Book 4 Labs (~56 features)
# ===========================================
lab_RDW_VALUE,Book4_Labs,Andrei,"RDW - #1 ColonFlag feature, chronic inflammation/iron deficiency",,TBD,
lab_RDW_ABNORMAL,Book4_Labs,Andrei,RDW abnormal flag,,TBD,
lab_RDW_ELEVATED,Book4_Labs,Andrei,RDW >14.5% flag,,TBD,
lab_RDW_6MO_CHANGE,Book4_Labs,Andrei,RDW 6-month trend,,TBD,
lab_RDW_6MO_PCT_CHANGE,Book4_Labs,Andrei,RDW 6-month percent change,,TBD,
lab_RDW_3MO_CHANGE,Book4_Labs,Andrei,RDW 3-month change,,TBD,
lab_RDW_12MO_CHANGE,Book4_Labs,Andrei,RDW 12-month change,,TBD,
lab_RDW_VELOCITY_PER_MONTH,Book4_Labs,Andrei,RDW velocity (rate of change),,TBD,
lab_RDW_ACCELERATION,Book4_Labs,Andrei,RDW acceleration (change in velocity),,TBD,
lab_RDW_ACCELERATING_RISE,Book4_Labs,Andrei,RDW accelerating rise flag,,TBD,
lab_RDW_VOLATILITY,Book4_Labs,Andrei,RDW coefficient of variation,,TBD,
lab_RDW_TRAJECTORY,Book4_Labs,Andrei,RDW trajectory classification (ordinal),,TBD,
lab_WBC_VALUE,Book4_Labs,Andrei,White blood cell count,,TBD,
lab_WBC_ABNORMAL,Book4_Labs,Andrei,WBC abnormal flag,,TBD,
lab_WBC_6MO_CHANGE,Book4_Labs,Andrei,WBC 6-month trend,,TBD,
lab_LEUKOCYTOSIS_FLAG,Book4_Labs,Andrei,WBC >11.0 flag,,TBD,
lab_LEUKOPENIA_FLAG,Book4_Labs,Andrei,WBC <4.0 flag,,TBD,
lab_NEUTROPHILS_ABS_VALUE,Book4_Labs,Andrei,Absolute neutrophil count,,TBD,
lab_LYMPHOCYTES_ABS_VALUE,Book4_Labs,Andrei,Absolute lymphocyte count,,TBD,
lab_MONOCYTES_ABS_VALUE,Book4_Labs,Andrei,Absolute monocyte count,,TBD,
lab_EOSINOPHILS_ABS_VALUE,Book4_Labs,Andrei,Absolute eosinophil count,,TBD,
lab_EOSINOPHILIA_FLAG,Book4_Labs,Andrei,Eosinophils >0.5 flag,,TBD,
lab_BASOPHILS_ABS_VALUE,Book4_Labs,Andrei,Absolute basophil count,,TBD,
lab_GLUCOSE_VALUE,Book4_Labs,Andrei,Blood glucose,,TBD,
lab_GLUCOSE_ABNORMAL,Book4_Labs,Andrei,Glucose abnormal flag,,TBD,
lab_HYPERGLYCEMIA_FLAG,Book4_Labs,Andrei,Glucose >126 flag,,TBD,
lab_BUN_VALUE,Book4_Labs,Andrei,Blood urea nitrogen,,TBD,
lab_CREATININE_VALUE,Book4_Labs,Andrei,Serum creatinine,,TBD,
lab_CREATININE_ABNORMAL,Book4_Labs,Andrei,Creatinine abnormal flag,,TBD,
lab_CREATININE_6MO_CHANGE,Book4_Labs,Andrei,Creatinine 6-month trend,,TBD,
lab_CALCIUM_VALUE,Book4_Labs,Andrei,Serum calcium,,TBD,
lab_CALCIUM_ABNORMAL,Book4_Labs,Andrei,Calcium abnormal flag,,TBD,
lab_HYPERCALCEMIA_FLAG,Book4_Labs,Andrei,Calcium >10.5 flag,,TBD,
lab_SODIUM_VALUE,Book4_Labs,Andrei,Serum sodium,,TBD,
lab_POTASSIUM_VALUE,Book4_Labs,Andrei,Serum potassium,,TBD,
lab_CHLORIDE_VALUE,Book4_Labs,Andrei,Serum chloride,,TBD,
lab_CO2_VALUE,Book4_Labs,Andrei,CO2/bicarbonate,,TBD,
lab_TOTAL_CHOLESTEROL_VALUE,Book4_Labs,Andrei,Total cholesterol,,TBD,
lab_TOTAL_CHOLESTEROL_ABNORMAL,Book4_Labs,Andrei,Total cholesterol abnormal flag,,TBD,
lab_TSH_VALUE,Book4_Labs,Andrei,Thyroid stimulating hormone,,TBD,
lab_TSH_ABNORMAL,Book4_Labs,Andrei,TSH abnormal flag,,TBD,
lab_TSH_6MO_CHANGE,Book4_Labs,Andrei,TSH 6-month trend,,TBD,
lab_THYROID_DYSFUNCTION_FLAG,Book4_Labs,Andrei,TSH <0.4 or >4.5 flag,,TBD,
lab_VITAMIN_D_VALUE,Book4_Labs,Andrei,25-OH Vitamin D,,TBD,
lab_VITAMIN_D_DEFICIENCY_FLAG,Book4_Labs,Andrei,Vitamin D <20 flag,,TBD,
lab_VITAMIN_B12_VALUE,Book4_Labs,Andrei,Vitamin B12,,TBD,
lab_B12_DEFICIENCY_FLAG,Book4_Labs,Andrei,B12 <200 flag,,TBD,
lab_FOLATE_VALUE,Book4_Labs,Andrei,Serum folate,,TBD,
lab_FOLATE_DEFICIENCY_FLAG,Book4_Labs,Andrei,Folate <3 flag,,TBD,
lab_NLR_VALUE,Book4_Labs,Andrei,Neutrophil-to-lymphocyte ratio,,TBD,
lab_NLR_ELEVATED,Book4_Labs,Andrei,NLR >3.0 flag,,TBD,
lab_NLR_6MO_CHANGE,Book4_Labs,Andrei,NLR 6-month change,,TBD,
lab_PLR_VALUE,Book4_Labs,Andrei,Platelet-to-lymphocyte ratio,,TBD,
lab_PLR_ELEVATED,Book4_Labs,Andrei,PLR >150 flag,,TBD,
lab_LMR_VALUE,Book4_Labs,Andrei,Lymphocyte-to-monocyte ratio,,TBD,
lab_SII_VALUE,Book4_Labs,Andrei,Systemic immune-inflammation index,,TBD,
lab_SII_ELEVATED,Book4_Labs,Andrei,SII >500 flag,,TBD,
lab_BUN_CR_RATIO_VALUE,Book4_Labs,Andrei,BUN/creatinine ratio (GI bleeding indicator),,TBD,
lab_BUN_CR_RATIO_ELEVATED,Book4_Labs,Andrei,BUN/Cr >20 flag,,TBD,
lab_CKD_FLAG,Book4_Labs,Andrei,eGFR <60 flag,,TBD,
lab_NUTRITIONAL_DEFICIENCY,Book4_Labs,Andrei,"Composite: B12 <200, Folate <3, VitD <20, or Iron deficiency",,TBD,
lab_SYSTEMIC_INFLAMMATION_INDEX,Book4_Labs,Andrei,"Ordinal 0-4: NLR>3 + CRP>10 + PLR>150 + ESR>30",,TBD,
# ===========================================
# ANDREI'S ADDITIONS - Book 2 ICD10 (~23 features)
# ===========================================
icd_ALCOHOL_USE_DISORDER_FLAG_EVER,Book2_ICD10,Andrei,F10.* - alcohol use disorder flag,,TBD,
icd_ALCOHOL_USE_DISORDER_CNT_EVER,Book2_ICD10,Andrei,F10.* - alcohol use disorder count,,TBD,
icd_TOBACCO_USE_DISORDER_FLAG_EVER,Book2_ICD10,Andrei,F17.* - tobacco use disorder flag,,TBD,
icd_TOBACCO_USE_DISORDER_CNT_EVER,Book2_ICD10,Andrei,F17.* - tobacco use disorder count,,TBD,
icd_LIVER_DISEASE_FLAG_EVER,Book2_ICD10,Andrei,K70-K77 - liver disease flag,,TBD,
icd_COPD_FLAG_EVER,Book2_ICD10,Andrei,J44.* - COPD flag,,TBD,
icd_CKD_FLAG_EVER,Book2_ICD10,Andrei,N18.* - chronic kidney disease flag,,TBD,
icd_HEART_FAILURE_FLAG_EVER,Book2_ICD10,Andrei,I50.* - heart failure flag,,TBD,
icd_CELIAC_DISEASE_FLAG_EVER,Book2_ICD10,Andrei,K90.0 - celiac disease flag,,TBD,
icd_NAUSEA_FLAG_12MO,Book2_ICD10,Andrei,R11.* - nausea/vomiting flag 12mo,,TBD,
icd_NAUSEA_CNT_12MO,Book2_ICD10,Andrei,R11.* - nausea/vomiting count 12mo,,TBD,
icd_NAUSEA_FLAG_24MO,Book2_ICD10,Andrei,R11.* - nausea/vomiting flag 24mo,,TBD,
icd_NAUSEA_CNT_24MO,Book2_ICD10,Andrei,R11.* - nausea/vomiting count 24mo,,TBD,
icd_DAYS_SINCE_LAST_NAUSEA,Book2_ICD10,Andrei,Days since last nausea/vomiting,,TBD,
icd_HEMORRHOIDS_FLAG_24MO,Book2_ICD10,Andrei,K64.* - hemorrhoids flag,,TBD,
icd_HEMORRHOIDS_CNT_24MO,Book2_ICD10,Andrei,K64.* - hemorrhoids count,,TBD,
icd_IBS_FLAG_24MO,Book2_ICD10,Andrei,K58.* - IBS flag,,TBD,
icd_IBS_CNT_24MO,Book2_ICD10,Andrei,K58.* - IBS count,,TBD,
icd_INTESTINAL_OBSTRUCTION_FLAG_24MO,Book2_ICD10,Andrei,K56.* - obstruction flag,,TBD,
icd_INTESTINAL_OBSTRUCTION_CNT_24MO,Book2_ICD10,Andrei,K56.* - obstruction count,,TBD,
icd_MALNUTRITION_FLAG_24MO,Book2_ICD10,Andrei,E44/E46 - malnutrition flag,,TBD,
icd_LIFESTYLE_RISK_COMPOSITE,Book2_ICD10,Andrei,"Composite: 2+ of alcohol + tobacco + obesity",,TBD,
icd_COMORBIDITY_BURDEN,Book2_ICD10,Andrei,"Sum: diabetes + CKD + CHF + COPD + liver disease",,TBD,
# ===========================================
# ANDREI'S ADDITIONS - Book 5.1 Meds (3 features)
# ===========================================
med_h2_blocker_use_flag,Book5_1_Meds,Andrei,H2 blocker ever-use flag,,TBD,
med_h2_blocker_use_days_since,Book5_1_Meds,Andrei,Days since last H2 blocker,,TBD,
med_h2_blocker_use_count_2yr,Book5_1_Meds,Andrei,H2 blocker order count 2yr,,TBD,
